Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h),,,,,
24-Aug-20,SWAS,Derriford Hospital,109,100.00%,32,29.36%,7,6.42%,2,1.83%,0,0.00%,7.1,2.13,0.02,61.05,13.27,28.88,24.11,0.07,,,,,
25-Aug-20,SWAS,Derriford Hospital,92,100.00%,17,18.48%,3,3.26%,0,0.00%,0,0.00%,2.29,0.16,0,35.57,9.41,20.33,14.43,0.02,,,,,
26-Aug-20,SWAS,Derriford Hospital,124,100.00%,39,31.45%,20,16.13%,6,4.84%,0,0.00%,13.51,6.63,1.31,89.43,15.75,36.45,32.54,0.11,,,,,
27-Aug-20,SWAS,Derriford Hospital,132,100.00%,34,25.76%,12,9.09%,0,0.00%,0,0.00%,7.29,1.97,0,58.55,12.82,28.35,28.21,0.06,,,,,
28-Aug-20,SWAS,Derriford Hospital,108,100.00%,21,19.44%,6,5.56%,2,1.85%,1,0.93%,5.26,2.7,0.98,109.73,11.34,20,20.41,0.05,,,,,
29-Aug-20,SWAS,Derriford Hospital,113,100.00%,48,42.48%,21,18.58%,6,5.31%,0,0.00%,16.02,8.48,2.11,88.03,19.33,49.4,36.41,0.14,,,,,
30-Aug-20,SWAS,Derriford Hospital,128,100.00%,67,52.34%,47,36.72%,27,21.09%,19,14.84%,59.02,45.33,27.29,217.97,39.31,120.15,83.85,0.46,,,,,
31-Aug-20,SWAS,Derriford Hospital,121,100.00%,35,28.93%,22,18.18%,15,12.40%,9,7.44%,23.63,17.53,8.9,125,20.63,72.65,41.61,0.2,,,,,
01-Sep-20,SWAS,Derriford Hospital,108,100.00%,47,43.52%,22,20.37%,11,10.19%,1,0.93%,19.33,11.4,3.21,90.6,20.8,62.17,37.44,0.18,,,,,
02-Sep-20,SWAS,Derriford Hospital,121,100.00%,43,35.54%,23,19.01%,6,4.96%,3,2.48%,17.2,9.24,3.53,128.22,18.23,39.97,36.77,0.14,,,,,
03-Sep-20,SWAS,Derriford Hospital,111,100.00%,47,42.34%,32,28.83%,20,18.02%,11,9.91%,37.35,27.77,15.24,181.68,30.75,82.45,56.88,0.34,,,,,
04-Sep-20,SWAS,Derriford Hospital,118,100.00%,28,23.73%,8,6.78%,0,0.00%,0,0.00%,5.71,1.41,0,58.48,11.81,26.7,23.23,0.05,,,,,
05-Sep-20,SWAS,Derriford Hospital,114,100.00%,16,14.04%,5,4.39%,0,0.00%,0,0.00%,3.23,0.74,0,51.53,9.21,19.55,17.49,0.03,,,,,
06-Sep-20,SWAS,Derriford Hospital,141,100.00%,45,31.91%,22,15.60%,1,0.71%,0,0.00%,13.36,4.82,0.05,62.78,15.43,38,36.26,0.09,,,,,
07-Sep-20,SWAS,Derriford Hospital,114,100.00%,54,47.37%,30,26.32%,11,9.65%,5,4.39%,26.51,16.18,6.25,146.43,24.88,59.88,47.28,0.23,,,,,
08-Sep-20,SWAS,Derriford Hospital,133,100.00%,49,36.84%,24,18.05%,9,6.77%,5,3.76%,22.35,14.11,5.8,157.93,20.59,46.87,45.63,0.17,,,,,
09-Sep-20,SWAS,Derriford Hospital,126,100.00%,40,31.75%,18,14.29%,8,6.35%,3,2.38%,15.83,8.83,3.22,108.02,17.22,38.83,36.16,0.13,,,,,
10-Sep-20,SWAS,Derriford Hospital,126,100.00%,46,36.51%,23,18.25%,11,8.73%,5,3.97%,20.75,13.2,5.81,131.13,19.49,50.02,40.93,0.16,,,,,
11-Sep-20,SWAS,Derriford Hospital,127,100.00%,38,29.92%,7,5.51%,1,0.79%,0,0.00%,6.25,1.88,0.25,74.78,12.96,25,27.43,0.05,,,,,
12-Sep-20,SWAS,Derriford Hospital,134,100.00%,26,19.40%,5,3.73%,0,0.00%,0,0.00%,3.77,0.38,0,41.53,10.19,21.92,22.76,0.03,,,,,
13-Sep-20,SWAS,Derriford Hospital,117,100.00%,26,22.22%,6,5.13%,0,0.00%,0,0.00%,4.11,0.71,0,42.12,11.11,24.83,21.66,0.04,,,,,
14-Sep-20,SWAS,Derriford Hospital,131,100.00%,62,47.33%,47,35.88%,35,26.72%,33,25.19%,85.62,72.58,52.7,287.47,49.47,149.67,108.02,0.65,,,,,
15-Sep-20,SWAS,Derriford Hospital,133,100.00%,61,45.86%,29,21.80%,10,7.52%,5,3.76%,25.41,14.8,6.12,143,22.26,55,49.34,0.19,,,,,
16-Sep-20,SWAS,Derriford Hospital,111,100.00%,38,34.23%,14,12.61%,4,3.60%,1,0.90%,11.41,5.44,1.57,125.53,16.18,33.73,29.94,0.1,,,,,
17-Sep-20,SWAS,Derriford Hospital,127,100.00%,68,53.54%,42,33.07%,21,16.54%,10,7.87%,45.09,31,16.4,204.58,33.4,78.53,70.69,0.36,,,,,
18-Sep-20,SWAS,Derriford Hospital,124,100.00%,46,37.10%,22,17.74%,10,8.06%,4,3.23%,19.5,11.68,4.34,102.48,19.8,55,40.93,0.16,,,,,
19-Sep-20,SWAS,Derriford Hospital,118,100.00%,56,47.46%,32,27.12%,20,16.95%,13,11.02%,39.22,28.47,15.17,188.55,30.72,93.22,60.41,0.33,,,,,
20-Sep-20,SWAS,Derriford Hospital,92,100.00%,27,29.35%,7,7.61%,1,1.09%,0,0.00%,5.76,1.72,0.33,80.08,12.74,29.73,19.54,0.06,,,,,
21-Sep-20,SWAS,Derriford Hospital,130,100.00%,63,48.46%,42,32.31%,28,21.54%,21,16.15%,53.47,40.79,24.57,162.83,34.8,115,75.4,0.41,,,,,
22-Sep-20,SWAS,Derriford Hospital,117,100.00%,45,38.46%,19,16.24%,3,2.56%,0,0.00%,11.99,4.79,0.61,84.08,16.5,35.72,32.18,0.1,,,,,
23-Sep-20,SWAS,Derriford Hospital,123,100.00%,23,18.70%,5,4.07%,0,0.00%,0,0.00%,4.09,1.15,0,58.43,10.21,22.32,20.92,0.03,,,,,
24-Sep-20,SWAS,Derriford Hospital,117,100.00%,16,13.68%,1,0.85%,0,0.00%,0,0.00%,2.17,0.19,0,41.23,8.67,19.65,16.92,0.02,,,,,
25-Sep-20,SWAS,Derriford Hospital,96,100.00%,35,36.46%,19,19.79%,7,7.29%,1,1.04%,13.74,7.12,1.13,92.98,17.69,51.2,28.3,0.14,,,,,
26-Sep-20,SWAS,Derriford Hospital,104,100.00%,17,16.35%,8,7.69%,1,0.96%,0,0.00%,4.77,1.69,0.27,76.03,9.48,23.75,16.43,0.05,,,,,
27-Sep-20,SWAS,Derriford Hospital,93,100.00%,6,6.45%,3,3.23%,0,0.00%,0,0.00%,1.7,0.79,0,56.63,6.96,13.53,10.8,0.02,,,,,
28-Sep-20,SWAS,Derriford Hospital,138,100.00%,35,25.36%,14,10.14%,0,0.00%,0,0.00%,8.06,2.73,0,54.63,12.05,30.55,27.71,0.06,,,,,
29-Sep-20,SWAS,Derriford Hospital,133,100.00%,68,51.13%,33,24.81%,14,10.53%,13,9.77%,40.1,27.36,17.13,176.72,29.73,61.13,65.91,0.3,,,,,
30-Sep-20,SWAS,Derriford Hospital,121,100.00%,83,68.60%,55,45.45%,37,30.58%,28,23.14%,73.08,55.75,33.2,223.35,49.49,117.07,99.8,0.6,,,,,
01-Oct-20,SWAS,Derriford Hospital,116,100.00%,56,48.28%,32,27.59%,7,6.03%,2,1.72%,20.46,10.28,2.44,113.8,21.83,51.22,42.21,0.18,,,,,
02-Oct-20,SWAS,Derriford Hospital,125,100.00%,75,60.00%,39,31.20%,11,8.80%,2,1.60%,28.36,14,3.4,103.03,25.6,57.15,53.34,0.23,,,,,
03-Oct-20,SWAS,Derriford Hospital,100,100.00%,51,51.00%,17,17.00%,7,7.00%,1,1.00%,14.51,6.49,1.9,90.48,20.33,34.78,33.89,0.15,,,,,
04-Oct-20,SWAS,Derriford Hospital,120,100.00%,70,58.33%,48,40.00%,16,13.33%,1,0.83%,31.92,17.77,2.47,115,27.55,62.38,55.11,0.27,,,,,
05-Oct-20,SWAS,Derriford Hospital,125,100.00%,71,56.80%,49,39.20%,37,29.60%,19,15.20%,59.36,44.47,23.67,177.52,40.2,104.57,83.74,0.47,,,,,
06-Oct-20,SWAS,Derriford Hospital,111,100.00%,89,80.18%,59,53.15%,32,28.83%,13,11.71%,55.98,37.8,15.37,142.58,43.91,92.63,81.24,0.5,,,,,
07-Oct-20,SWAS,Derriford Hospital,130,100.00%,80,61.54%,42,32.31%,12,9.23%,2,1.54%,31.39,16.46,3.39,100.33,26.73,58.03,57.92,0.24,,,,,
08-Oct-20,SWAS,Derriford Hospital,138,100.00%,80,57.97%,49,35.51%,13,9.42%,4,2.90%,35.89,20.74,7.66,175.35,27.16,58.98,62.46,0.26,,,,,
09-Oct-20,SWAS,Derriford Hospital,137,100.00%,88,64.23%,52,37.96%,22,16.06%,4,2.92%,39.71,22.78,6.03,116.65,29.68,70.08,67.77,0.29,,,,,
10-Oct-20,SWAS,Derriford Hospital,106,100.00%,50,47.17%,10,9.43%,0,0.00%,0,0.00%,7.77,0.95,0,45.32,14.76,29.82,26.08,0.07,,,,,
11-Oct-20,SWAS,Derriford Hospital,122,100.00%,51,41.80%,31,25.41%,8,6.56%,1,0.82%,20.69,10.49,3.05,166,20.91,44.15,42.51,0.17,,,,,
12-Oct-20,SWAS,Derriford Hospital,123,100.00%,72,58.54%,37,30.08%,8,6.50%,3,2.44%,27.01,13.79,3.3,131.08,25.58,54.8,52.45,0.22,,,,,
13-Oct-20,SWAS,Derriford Hospital,109,100.00%,55,50.46%,21,19.27%,9,8.26%,6,5.50%,19.97,11.24,5.43,118.13,22.28,42.28,40.47,0.18,,,,,
14-Oct-20,SWAS,Derriford Hospital,125,100.00%,69,55.20%,38,30.40%,8,6.40%,0,0.00%,23.96,10.53,1.26,77.3,23.44,49.73,48.84,0.19,,,,,
15-Oct-20,SWAS,Derriford Hospital,121,100.00%,75,61.98%,51,42.15%,5,4.13%,0,0.00%,28.89,13.2,0.84,79.75,26.61,50.2,53.66,0.24,,,,,
16-Oct-20,SWAS,Derriford Hospital,119,100.00%,63,52.94%,14,11.76%,1,0.84%,0,0.00%,10.57,2.43,0.17,70.15,16.98,32.08,33.68,0.09,,,,,
17-Oct-20,SWAS,Derriford Hospital,117,100.00%,51,43.59%,13,11.11%,1,0.85%,0,0.00%,9.04,2.53,0.02,61.23,15.88,35.2,30.97,0.08,,,,,
18-Oct-20,SWAS,Derriford Hospital,117,100.00%,66,56.41%,32,27.35%,0,0.00%,0,0.00%,15.99,4.93,0,57.98,20.23,40.3,39.45,0.14,,,,,
19-Oct-20,SWAS,Derriford Hospital,118,100.00%,61,51.69%,29,24.58%,13,11.02%,9,7.63%,29.39,18.55,9.68,144.48,26.6,63.72,52.31,0.25,,,,,
20-Oct-20,SWAS,Derriford Hospital,130,100.00%,67,51.54%,40,30.77%,21,16.15%,15,11.54%,46.22,33.1,18.98,185.42,33.11,96.15,71.75,0.36,,,,,
21-Oct-20,SWAS,Derriford Hospital,111,100.00%,58,52.25%,24,21.62%,7,6.31%,1,0.90%,17.67,8.25,1.13,99.1,21.15,49.52,39.12,0.16,,,,,
22-Oct-20,SWAS,Derriford Hospital,104,100.00%,43,41.35%,20,19.23%,1,0.96%,0,0.00%,11.68,3.53,0.46,87.6,17.47,35.9,30.28,0.11,,,,,
23-Oct-20,SWAS,Derriford Hospital,131,100.00%,62,47.33%,22,16.79%,2,1.53%,0,0.00%,13.9,4.17,0.39,82.03,17.77,36.97,38.8,0.11,,,,,
24-Oct-20,SWAS,Derriford Hospital,109,100.00%,69,63.30%,24,22.02%,1,0.92%,0,0.00%,14.92,3.76,0.05,62.92,20.68,37.95,37.57,0.14,,,,,
25-Oct-20,SWAS,Derriford Hospital,127,100.00%,75,59.06%,42,33.07%,22,17.32%,13,10.24%,52.3,37.91,22.77,219.8,36.62,90.05,77.52,0.41,,,,,
26-Oct-20,SWAS,Derriford Hospital,119,100.00%,75,63.03%,41,34.45%,10,8.40%,3,2.52%,31.02,17.3,4.8,133.57,27.79,58.82,55.11,0.26,,,,,
27-Oct-20,SWAS,Derriford Hospital,121,100.00%,68,56.20%,34,28.10%,8,6.61%,4,3.31%,24.46,11.76,3.3,106.93,23.81,49.32,48.03,0.2,,,,,
28-Oct-20,SWAS,Derriford Hospital,106,100.00%,42,39.62%,16,15.09%,3,2.83%,0,0.00%,11.03,4.89,0.39,75.53,17.19,40.03,30.37,0.1,,,,,
29-Oct-20,SWAS,Derriford Hospital,115,100.00%,54,46.96%,15,13.04%,0,0.00%,0,0.00%,9.05,1.5,0,54.9,15.9,30.87,30.47,0.08,,,,,
30-Oct-20,SWAS,Derriford Hospital,119,100.00%,45,37.82%,11,9.24%,1,0.84%,0,0.00%,8.5,2.02,0.06,63.53,14.29,30,28.34,0.07,,,,,
31-Oct-20,SWAS,Derriford Hospital,108,100.00%,41,37.96%,15,13.89%,1,0.93%,0,0.00%,9.5,3.25,0.01,60.78,15.6,33.65,28.09,0.09,,,,,
01-Nov-20,SWAS,Derriford Hospital,128,100.00%,46,35.94%,16,12.50%,0,0.00%,0,0.00%,9.07,1.54,0,48.45,14.32,31.8,30.54,0.07,,,,,
02-Nov-20,SWAS,Derriford Hospital,126,100.00%,66,52.38%,38,30.16%,14,11.11%,2,1.59%,28.26,16.12,4.81,127.48,25.66,65.13,53.89,0.22,,,,,
03-Nov-20,SWAS,Derriford Hospital,101,100.00%,61,60.40%,24,23.76%,3,2.97%,1,0.99%,15.31,4.89,0.84,90.53,21.39,38.15,36,0.15,,,,,
04-Nov-20,SWAS,Derriford Hospital,128,100.00%,66,51.56%,42,32.81%,17,13.28%,12,9.38%,43.59,30.78,17.21,172.08,31.52,80,67.25,0.34,,,,,
05-Nov-20,SWAS,Derriford Hospital,136,100.00%,78,57.35%,55,40.44%,21,15.44%,5,3.68%,41.22,24.97,6.29,108.08,30.44,66.08,69,0.3,,,,,
06-Nov-20,SWAS,Derriford Hospital,119,100.00%,52,43.70%,24,20.17%,14,11.76%,5,4.20%,22.69,13.68,5.21,104.42,22.48,65.2,44.59,0.19,,,,,
07-Nov-20,SWAS,Derriford Hospital,117,100.00%,68,58.12%,31,26.50%,3,2.56%,0,0.00%,19.23,6.98,0.07,62.15,21.8,45.23,42.52,0.16,,,,,
08-Nov-20,SWAS,Derriford Hospital,110,100.00%,55,50.00%,19,17.27%,0,0.00%,0,0.00%,12.09,2.56,0,51.1,17.98,34.62,32.96,0.11,,,,,
09-Nov-20,SWAS,Derriford Hospital,123,100.00%,81,65.85%,56,45.53%,41,33.33%,28,22.76%,87.52,70.58,46.33,260.22,54.92,142.27,112.59,0.71,,,,,
10-Nov-20,SWAS,Derriford Hospital,108,100.00%,75,69.44%,53,49.07%,17,15.74%,5,4.63%,38.28,22.44,6.42,107.72,34.14,77.93,61.46,0.35,,,,,
11-Nov-20,SWAS,Derriford Hospital,99,100.00%,50,50.51%,29,29.29%,13,13.13%,5,5.05%,24.61,14.75,6.26,109.02,26.64,77.85,43.96,0.25,,,,,
12-Nov-20,SWAS,Derriford Hospital,132,100.00%,71,53.79%,47,35.61%,11,8.33%,0,0.00%,28.63,14.52,1.94,82.77,24.77,57.42,54.49,0.22,,,,,
13-Nov-20,SWAS,Derriford Hospital,114,100.00%,72,63.16%,39,34.21%,5,4.39%,3,2.63%,25.68,11.58,2.64,115.85,25.69,55.08,48.8,0.23,,,,,
14-Nov-20,SWAS,Derriford Hospital,115,100.00%,78,67.83%,38,33.04%,8,6.96%,0,0.00%,25.18,10.6,1.14,83.48,25.56,53.05,48.99,0.22,,,,,
15-Nov-20,SWAS,Derriford Hospital,106,100.00%,46,43.40%,27,25.47%,4,3.77%,1,0.94%,16.51,7.73,0.91,94.38,20.35,45.4,35.95,0.16,,,,,
16-Nov-20,SWAS,Derriford Hospital,113,100.00%,67,59.29%,31,27.43%,15,13.27%,7,6.19%,28.96,17.27,7.74,128.08,27.54,68.68,51.88,0.26,,,,,
17-Nov-20,SWAS,Derriford Hospital,118,100.00%,76,64.41%,50,42.37%,30,25.42%,18,15.25%,53.07,37.46,17.43,190.45,39.56,101.52,77.8,0.45,,,,,
18-Nov-20,SWAS,Derriford Hospital,106,100.00%,45,42.45%,21,19.81%,6,5.66%,3,2.83%,17.45,9.96,3.14,119.12,20.5,49.45,36.21,0.16,,,,,
19-Nov-20,SWAS,Derriford Hospital,100,100.00%,57,57.00%,31,31.00%,10,10.00%,1,1.00%,21.36,10.89,2.66,101.15,24.22,58.62,40.37,0.21,,,,,
20-Nov-20,SWAS,Derriford Hospital,123,100.00%,78,63.41%,29,23.58%,2,1.63%,1,0.81%,16.14,4.12,0.7,94.2,20.74,34.4,42.52,0.13,,,,,
21-Nov-20,SWAS,Derriford Hospital,130,100.00%,65,50.00%,29,22.31%,1,0.77%,0,0.00%,16.62,5.75,0.01,60.58,19.2,41.13,41.59,0.13,,,,,
22-Nov-20,SWAS,Derriford Hospital,121,100.00%,55,45.45%,14,11.57%,0,0.00%,0,0.00%,10.29,1.62,0,56.53,16.13,30.63,32.52,0.09,,,,,
23-Nov-20,SWAS,Derriford Hospital,124,100.00%,52,41.94%,26,20.97%,3,2.42%,1,0.81%,15.88,6.9,0.83,97.62,18.07,41.52,37.34,0.13,,,,,
24-Nov-20,SWAS,Derriford Hospital,117,100.00%,69,58.97%,29,24.79%,2,1.71%,1,0.85%,18.7,6.58,0.73,101.62,21.54,40.52,41.99,0.16,,,,,
25-Nov-20,SWAS,Derriford Hospital,130,100.00%,80,61.54%,46,35.38%,16,12.31%,13,10.00%,42.33,26.58,12.4,141.15,31.48,76.17,68.21,0.33,,,,,
26-Nov-20,SWAS,Derriford Hospital,120,100.00%,59,49.17%,22,18.33%,8,6.67%,3,2.50%,21.04,10.88,3.22,129.2,21.45,53.37,42.9,0.18,,,,,
27-Nov-20,SWAS,Derriford Hospital,112,100.00%,62,55.36%,18,16.07%,0,0.00%,0,0.00%,11.67,2.91,0,55.78,17.78,34.78,33.19,0.1,,,,,
28-Nov-20,SWAS,Derriford Hospital,73,100.00%,14,19.18%,2,2.74%,0,0.00%,0,0.00%,1.26,0.03,0,31.27,9.66,18.17,11.75,0.02,,,,,
29-Nov-20,SWAS,Derriford Hospital,89,100.00%,14,15.73%,1,1.12%,0,0.00%,0,0.00%,2.11,0.42,0,55,10.8,20.03,16.01,0.02,,,,,
30-Nov-20,SWAS,Derriford Hospital,136,100.00%,66,48.53%,25,18.38%,8,5.88%,4,2.94%,23.31,11.73,4.43,126.9,21.11,44.73,47.84,0.17,,,,,
01-Dec-20,SWAS,Derriford Hospital,97,100.00%,52,53.61%,26,26.80%,1,1.03%,0,0.00%,14.61,5.25,0.28,76.78,20.94,43.88,33.86,0.15,,,,,
02-Dec-20,SWAS,Derriford Hospital,106,100.00%,58,54.72%,24,22.64%,3,2.83%,0,0.00%,15.19,5.23,0.31,73.12,20.74,42.57,36.63,0.14,,,,,
03-Dec-20,SWAS,Derriford Hospital,124,100.00%,82,66.13%,42,33.87%,10,8.06%,6,4.84%,36.42,20.57,7.46,161.87,30.42,57.03,62.86,0.29,,,,,
04-Dec-20,SWAS,Derriford Hospital,100,100.00%,56,56.00%,25,25.00%,6,6.00%,0,0.00%,17.04,8.17,1.06,87.78,22.53,47.3,37.54,0.17,,,,,
05-Dec-20,SWAS,Derriford Hospital,98,100.00%,56,57.14%,23,23.47%,1,1.02%,0,0.00%,15.46,5.92,0.01,60.55,20.78,45.83,33.95,0.16,,,,,
06-Dec-20,SWAS,Derriford Hospital,116,100.00%,59,50.86%,27,23.28%,6,5.17%,2,1.72%,18.1,8.04,1.68,98.37,21.17,42.07,40.94,0.16,,,,,
07-Dec-20,SWAS,Derriford Hospital,118,100.00%,72,61.02%,43,36.44%,24,20.34%,16,13.56%,58.25,44.79,30.05,276.15,41.64,152.72,81.89,0.49,,,,,
08-Dec-20,SWAS,Derriford Hospital,151,100.00%,97,64.24%,72,47.68%,27,17.88%,8,5.30%,50.26,29.5,8.05,112.63,32.23,70.12,81.1,0.33,,,,,
09-Dec-20,SWAS,Derriford Hospital,98,100.00%,46,46.94%,23,23.47%,3,3.06%,0,0.00%,14.2,6.18,0.25,68.43,19.85,45.9,32.43,0.14,,,,,
10-Dec-20,SWAS,Derriford Hospital,130,100.00%,62,47.69%,36,27.69%,9,6.92%,2,1.54%,23.95,12.15,3.06,93.35,21.82,51.42,47.28,0.18,,,,,
11-Dec-20,SWAS,Derriford Hospital,122,100.00%,76,62.30%,43,35.25%,4,3.28%,0,0.00%,25.2,10.94,1.01,87.57,24.4,50.83,49.62,0.21,,,,,
12-Dec-20,SWAS,Derriford Hospital,117,100.00%,87,74.36%,45,38.46%,12,10.26%,4,3.42%,32.38,15.94,4.29,108.73,29.71,63.17,57.94,0.28,,,,,
13-Dec-20,SWAS,Derriford Hospital,134,100.00%,91,67.91%,70,52.24%,40,29.85%,28,20.90%,80.06,60.31,34.11,219.15,48.1,124.48,107.43,0.6,,,,,
14-Dec-20,SWAS,Derriford Hospital,137,100.00%,79,57.66%,59,43.07%,39,28.47%,24,17.52%,70.11,53.13,29.23,212.27,42.38,115.78,96.77,0.51,,,,,
15-Dec-20,SWAS,Derriford Hospital,118,100.00%,87,73.73%,68,57.63%,43,36.44%,18,15.25%,69.97,50.55,22.27,172.08,48.61,100.18,95.61,0.59,,,,,
16-Dec-20,SWAS,Derriford Hospital,95,100.00%,47,49.47%,26,27.37%,8,8.42%,1,1.05%,19.88,10.71,2,90.53,24.01,59.32,38.01,0.21,,,,,
17-Dec-20,SWAS,Derriford Hospital,105,100.00%,58,55.24%,22,20.95%,3,2.86%,1,0.95%,15.51,6.2,0.99,102.5,20.85,45.82,36.48,0.15,,,,,
18-Dec-20,SWAS,Derriford Hospital,115,100.00%,70,60.87%,25,21.74%,2,1.74%,0,0.00%,17.53,5.81,0.42,78.6,21.08,43.13,40.4,0.15,,,,,
19-Dec-20,SWAS,Derriford Hospital,116,100.00%,67,57.76%,31,26.72%,4,3.45%,0,0.00%,18.93,7.59,0.84,75.98,21.33,47.68,41.23,0.16,,,,,
20-Dec-20,SWAS,Derriford Hospital,96,100.00%,42,43.75%,13,13.54%,2,2.08%,0,0.00%,8.27,2.65,0.16,68.85,15.93,35.05,25.5,0.09,,,,,
21-Dec-20,SWAS,Derriford Hospital,121,100.00%,53,43.80%,27,22.31%,4,3.31%,1,0.83%,17.07,7.32,1.89,144.05,19.32,38.3,38.96,0.14,,,,,
22-Dec-20,SWAS,Derriford Hospital,133,100.00%,67,50.38%,44,33.08%,8,6.02%,1,0.75%,29.01,15.27,2.67,101.73,24.71,55,54.78,0.22,,,,,
23-Dec-20,SWAS,Derriford Hospital,101,100.00%,46,45.54%,11,10.89%,1,0.99%,0,0.00%,9.03,2.7,0.18,70.98,15.54,30.8,26.15,0.09,,,,,
24-Dec-20,SWAS,Derriford Hospital,92,100.00%,39,42.39%,14,15.22%,1,1.09%,0,0.00%,9.32,2.75,0.01,60.8,16.53,34.78,25.34,0.1,,,,,
25-Dec-20,SWAS,Derriford Hospital,92,100.00%,20,21.74%,5,5.43%,0,0.00%,0,0.00%,3.37,0.56,0,44.9,11.2,21.97,17.17,0.04,,,,,
26-Dec-20,SWAS,Derriford Hospital,122,100.00%,54,44.26%,22,18.03%,1,0.82%,0,0.00%,13.13,4.35,0.12,67.25,17.76,37.5,36.11,0.11,,,,,
27-Dec-20,SWAS,Derriford Hospital,119,100.00%,70,58.82%,41,34.45%,9,7.56%,1,0.84%,26.27,12.86,1.54,91.12,25.14,55.9,49.86,0.22,,,,,
28-Dec-20,SWAS,Derriford Hospital,129,100.00%,67,51.94%,40,31.01%,11,8.53%,2,1.55%,28.74,15.45,3.55,116.28,24.51,58.13,52.69,0.22,,,,,
29-Dec-20,SWAS,Derriford Hospital,125,100.00%,76,60.80%,50,40.00%,24,19.20%,18,14.40%,68.06,52.7,34.94,241.92,45.26,151.13,94.29,0.54,,,,,
30-Dec-20,SWAS,Derriford Hospital,110,100.00%,63,57.27%,40,36.36%,22,20.00%,9,8.18%,39.63,26.94,12.39,149.95,33.55,82.73,61.52,0.36,,,,,
31-Dec-20,SWAS,Derriford Hospital,129,100.00%,81,62.79%,58,44.96%,24,18.60%,5,3.88%,43.37,26.09,7.3,118.18,32.55,75.8,69.97,0.34,,,,,
01-Jan-21,SWAS,Derriford Hospital,119,100.00%,75,63.03%,50,42.02%,22,18.49%,3,2.52%,39.63,24.86,6.31,115.1,32.15,76.28,63.76,0.33,,,,,
02-Jan-21,SWAS,Derriford Hospital,120,100.00%,58,48.33%,32,26.67%,9,7.50%,0,0.00%,22.31,11.3,1.42,76.08,22,54,44,0.19,,,,,
03-Jan-21,SWAS,Derriford Hospital,108,100.00%,71,65.74%,34,31.48%,7,6.48%,0,0.00%,21.83,8.91,0.78,77.68,24.39,46.62,43.9,0.2,,,,,
04-Jan-21,SWAS,Derriford Hospital,110,100.00%,58,52.73%,35,31.82%,9,8.18%,4,3.64%,24.39,13.34,3.91,122.57,24.89,57.53,45.64,0.22,,,,,
05-Jan-21,SWAS,Derriford Hospital,103,100.00%,50,48.54%,14,13.59%,1,0.97%,0,0.00%,10.05,3.12,0.01,60.3,17.59,36.83,30.2,0.1,,,,,
06-Jan-21,SWAS,Derriford Hospital,99,100.00%,66,66.67%,36,36.36%,13,13.13%,3,3.03%,27.29,14.32,3.85,110.78,28.98,67,47.81,0.28,,,,,
07-Jan-21,SWAS,Derriford Hospital,111,100.00%,71,63.96%,29,26.13%,4,3.60%,0,0.00%,19.03,6.11,0.32,68.4,22.71,43.5,42.02,0.17,,,,,
08-Jan-21,SWAS,Derriford Hospital,122,100.00%,78,63.93%,47,38.52%,26,21.31%,17,13.93%,52.4,37.51,19.34,164.03,38.69,95.68,78.67,0.43,,,,,
09-Jan-21,SWAS,Derriford Hospital,108,100.00%,52,48.15%,23,21.30%,2,1.85%,0,0.00%,13.66,4.97,0.54,88.92,18.28,38.23,32.9,0.13,,,,,
10-Jan-21,SWAS,Derriford Hospital,130,100.00%,77,59.23%,45,34.62%,18,13.85%,1,0.77%,33.47,19.57,5.92,121.12,27.29,76.5,59.13,0.26,,,,,
11-Jan-21,SWAS,Derriford Hospital,95,100.00%,56,58.95%,42,44.21%,18,18.95%,13,13.68%,44.26,32.09,17.85,200.27,40.24,108.23,63.71,0.47,,,,,
12-Jan-21,SWAS,Derriford Hospital,104,100.00%,55,52.88%,28,26.92%,3,2.88%,0,0.00%,17.65,7.44,0.92,88.58,21.74,47.38,37.69,0.17,,,,,
13-Jan-21,SWAS,Derriford Hospital,106,100.00%,54,50.94%,25,23.58%,6,5.66%,1,0.94%,19.2,9.23,2.17,92.17,21.9,50.48,38.69,0.18,,,,,
14-Jan-21,SWAS,Derriford Hospital,114,100.00%,47,41.23%,15,13.16%,2,1.75%,0,0.00%,10.5,3.4,0.4,72.47,16.21,32.37,30.8,0.09,,,,,
15-Jan-21,SWAS,Derriford Hospital,127,100.00%,66,51.97%,40,31.50%,20,15.75%,7,5.51%,35.73,22.8,8.61,113.22,28.13,76.2,59.54,0.28,,,,,
16-Jan-21,SWAS,Derriford Hospital,96,100.00%,45,46.88%,24,25.00%,0,0.00%,0,0.00%,11.6,3.78,0,58.38,19.04,37.57,30.47,0.12,,,,,
