Month Year,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Count of Handovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Jun-20,YAS,Barnsley District General,"1,580",84.13%,690,43.67%,219,13.86%,61,3.86%,31,1.96%,221.03,122.38,64.17,382.58,19.94,41.58,525.19,0.14
Jun-20,EEAST,Basildon & Thurrock Hospital,"2,235",93.95%,985,44.07%,83,3.71%,1,0.04%,0,0.00%,98.7,8.08,0.04,62.58,15.55,23.8,579.22,0.04
Jun-20,EMAS,Bassetlaw District General Hospital,790,100.00%,531,67.22%,120,15.19%,14,1.77%,0,0.00%,261.48,55.33,5.32,87.02,20.94,33.83,275.74,0.33
Jun-20,EEAST,Bedford Hospital South Wing,"1,518",95.53%,740,48.75%,42,2.77%,3,0.20%,1,0.07%,64.36,6.47,0.95,96.1,15.8,22.94,399.8,0.04
Jun-20,WMAS,Birmingham Childrens,755,88.51%,142,18.81%,6,0.79%,0,0.00%,0,0.00%,9.86,0.57,0,50,11.15,16.61,140.3,0.01
Jun-20,NWAS,Blackpool Victoria,"1,966",80.02%,897,45.63%,62,3.15%,1,0.05%,0,0.00%,90.3,6.99,0.13,67.92,15.48,24,507.21,0.05
Jun-20,EMAS,Boston Pilgrim Hospital,"1,608",100.00%,"1,091",67.85%,120,7.46%,24,1.49%,9,0.56%,501.44,67.26,17.32,184.42,19.35,29.93,518.47,0.31
Jun-20,YAS,Bradford Royal Infirmary,"2,067",75.47%,847,40.98%,237,11.47%,14,0.68%,0,0.00%,165.13,44.01,2.25,81.95,15.44,31.39,531.87,0.08
Jun-20,SWAS,Bristol Royal Infirmary,"2,593",100.00%,"1,254",48.36%,382,14.73%,79,3.05%,33,1.27%,311.35,130.29,38.73,162.6,18.94,38.43,818.64,0.12
Jun-20,EEAST,Broomfield Hospital,"2,296",96.15%,"1,584",68.99%,205,8.93%,5,0.22%,0,0.00%,205.32,27.51,0.86,80.3,19.42,29.03,743.28,0.09
Jun-20,WMAS,Burton,"1,015",96.12%,613,60.39%,18,1.77%,0,0.00%,0,0.00%,49.71,1.63,0,44.47,16.98,22.67,287.18,0.05
Jun-20,YAS,Calderdale Royal Hospital,744,57.14%,105,14.11%,19,2.55%,0,0.00%,0,0.00%,13.31,1.76,0,46.65,7.28,16.9,90.33,0.02
Jun-20,LAS,Charing Cross,"1,251",97.51%,675,53.96%,39,3.12%,1,0.08%,1,0.08%,66.54,3.34,0.48,88.9,16.38,24.12,341.52,0.05
Jun-20,LAS,Chelsea & Westminster,"1,333",97.51%,645,48.39%,14,1.05%,0,0.00%,0,0.00%,51.65,1.46,0,55.72,15.52,22.28,344.79,0.04
Jun-20,EMAS,Chesterfield Royal Hospital,"2,181",100.00%,"1,628",74.64%,376,17.24%,20,0.92%,0,0.00%,764.78,152.34,5.91,87.95,22.11,34.61,803.8,0.35
Jun-20,WMAS,City (Birmingham),"1,510",88.77%,339,22.45%,16,1.06%,1,0.07%,0,0.00%,25.76,1.84,0.32,79.3,12.4,17.78,312.13,0.02
Jun-20,EEAST,Colchester General Hospital,"2,751",97.90%,"1,908",69.36%,63,2.29%,2,0.07%,0,0.00%,172.98,7.17,0.3,71.25,18.03,24.58,826.78,0.06
Jun-20,SECAmb,Conquest Hospital,"1,507",88.96%,"1,104",73.26%,158,10.48%,3,0.20%,1,0.07%,150.94,19.8,0.92,104.7,20.08,29.61,504.28,0.1
Jun-20,NWAS,Countess Of Chester,641,51.53%,340,53.04%,42,6.55%,2,0.31%,0,0.00%,41.67,5.48,0.33,77.55,17.01,26,181.76,0.07
Jun-20,WMAS,County Hospital (Stafford),859,96.73%,196,22.82%,8,0.93%,0,0.00%,0,0.00%,12.76,0.58,0,41.72,13.07,17.36,187.13,0.01
Jun-20,LAS,Croydon University (Mayday),"2,260",97.41%,"1,518",67.17%,90,3.98%,1,0.04%,1,0.04%,158.1,9.25,0.21,72.67,18.3,25.75,689.15,0.07
Jun-20,NWAS,Cumberland Infirmary,888,65.73%,622,70.05%,107,12.05%,10,1.13%,1,0.11%,101.63,22.08,2.69,96.28,20.79,33.47,307.75,0.11
Jun-20,SECAmb,Darent Valley Hospital,"1,675",90.88%,991,59.16%,120,7.16%,1,0.06%,0,0.00%,118.89,12.7,0.03,61.88,17.74,27.31,495.29,0.07
Jun-20,NEAS,Darlington Memorial A&E,"1,156",92.78%,358,30.97%,36,3.11%,1,0.09%,0,0.00%,35.7,13.7,1.05,77.95,13.43,47.97,258.76,0.03
Jun-20,SWAS,Derriford Hospital,"3,390",100.00%,690,20.35%,191,5.63%,49,1.45%,16,0.47%,163.44,70.09,20.31,138,10.72,25.04,605.69,0.05
Jun-20,YAS,Doncaster Royal Infirmary,"1,904",86.31%,793,41.65%,318,16.70%,85,4.46%,41,2.15%,260.8,134.75,51.38,194.12,18.58,41.77,589.71,0.14
Jun-20,SWAS,Dorset County Hospital,"1,375",100.00%,91,6.62%,8,0.58%,0,0.00%,0,0.00%,10.65,1.3,0,52.82,6.88,13.27,157.64,0.01
Jun-20,LAS,Ealing,"1,266",98.52%,295,23.30%,16,1.26%,0,0.00%,0,0.00%,22.44,1.65,0,54,12.22,17.9,257.84,0.02
Jun-20,SECAmb,East Surrey Hospital,"2,696",97.22%,"1,651",61.24%,90,3.34%,0,0.00%,0,0.00%,159.23,7.19,0,53.15,17.23,24.61,774.35,0.06
Jun-20,SECAmb,Eastbourne Dgh,"1,410",83.33%,"1,175",83.33%,291,20.64%,7,0.50%,1,0.07%,209.7,37.71,1.17,90.05,23.21,34.55,545.41,0.15
Jun-20,SECAmb,Epsom Hospital,970,96.42%,534,55.05%,39,4.02%,0,0.00%,0,0.00%,52.82,3.66,0,52.17,16.78,24.49,271.3,0.05
Jun-20,NWAS,Fairfield General,"1,044",63.43%,563,53.93%,92,8.81%,0,0.00%,0,0.00%,78.45,11.25,0,53.17,17.66,29.2,307.28,0.08
Jun-20,SCAS,Frimley Park Hospital,638,90.63%,373,58.46%,30,4.70%,2,0.31%,0,0.00%,41.58,4.56,0.41,72.6,17.53,25.27,186.35,0.07
Jun-20,SECAmb,Frimley Park Hospital,"1,906",96.75%,"1,232",64.64%,136,7.14%,5,0.26%,2,0.10%,143.78,18.47,1.52,105.62,18.49,27.38,587.28,0.08
Jun-20,NWAS,Furness General,502,77.59%,206,41.04%,58,11.55%,10,1.99%,4,0.80%,46.86,18.04,5.08,145.68,17.74,31.69,148.39,0.09
Jun-20,WMAS,George Elliot,"1,073",89.87%,732,68.22%,64,5.96%,0,0.00%,0,0.00%,79.67,4.57,0,49.1,18.59,26.07,332.42,0.07
Jun-20,EMAS,Glenfield General Hospital,"1,198",100.00%,781,65.19%,206,17.20%,12,1.00%,0,0.00%,366.26,93.43,5.05,88.87,21.26,35.6,424.45,0.31
Jun-20,SWAS,Gloucester Royal Hospital,"3,492",100.00%,"1,082",30.99%,169,4.84%,14,0.40%,5,0.14%,152.23,33.91,6.37,160,12.98,24.27,755.52,0.04
Jun-20,WMAS,Good Hope,"1,921",82.38%,"1,355",70.54%,250,13.01%,17,0.88%,3,0.16%,215.57,42.95,3.75,109.58,20.84,33,667.12,0.11
Jun-20,SWAS,Great Western Hospital,"2,339",100.00%,585,25.01%,100,4.28%,5,0.21%,3,0.13%,86.13,18.78,2.18,101.93,11.52,22.79,449.1,0.04
Jun-20,EMAS,Grimsby Diana Princess Of Wales,"1,889",100.00%,"1,093",57.86%,229,12.12%,20,1.06%,1,0.05%,571.4,108.64,9.03,96.37,19.22,32.18,605.24,0.3
Jun-20,YAS,Harrogate District Hospital,385,41.31%,103,26.75%,17,4.42%,1,0.26%,0,0.00%,15.2,2.15,0.08,64.92,12.04,21.63,77.26,0.04
Jun-20,WMAS,Heartlands,"3,693",95.06%,"1,464",39.64%,203,5.50%,26,0.70%,1,0.03%,204.6,44.39,3.84,95.05,15.72,25.86,967.4,0.06
Jun-20,WMAS,Hereford County,"1,296",83.34%,821,63.35%,135,10.42%,4,0.31%,2,0.15%,113.35,19.6,2.42,120.68,19.13,28.83,413.12,0.09
Jun-20,LAS,Hillingdon,"1,864",98.21%,513,27.52%,50,2.68%,1,0.05%,1,0.05%,50.12,5.59,0.29,77.2,12.61,20.03,391.78,0.03
Jun-20,EEAST,Hinchingbrooke Hospital,"1,044",95.08%,696,66.67%,84,8.05%,3,0.29%,1,0.10%,88.99,12.19,1.1,108.35,18.72,28.61,325.7,0.09
Jun-20,LAS,Homerton,"1,178",96.88%,495,42.02%,18,1.53%,0,0.00%,0,0.00%,35.38,1.84,0,57.6,14.29,20.7,280.51,0.03
Jun-20,SCAS,Horton General Hospital,417,68.59%,99,23.74%,9,2.16%,1,0.24%,0,0.00%,10.47,1.69,0.09,65.32,12.87,16.87,89.41,0.03
Jun-20,YAS,Huddersfield Royal Infirmary,949,61.42%,192,20.23%,28,2.95%,1,0.11%,0,0.00%,25.54,4.2,0.29,77.57,8.91,19.43,140.88,0.03
Jun-20,YAS,Hull Royal Infirmary,"2,971",86.37%,"1,298",43.69%,215,7.24%,10,0.34%,1,0.03%,190.14,31.96,1.96,95.22,15.64,27.34,774.3,0.06
Jun-20,EEAST,Ipswich Hospital,"2,254",92.87%,"1,333",59.14%,162,7.19%,9,0.40%,2,0.09%,166,22.35,2.44,96.97,17.48,27.3,656.57,0.07
Jun-20,NEAS,James Cook A&E,822,45.41%,570,69.34%,136,16.55%,26,3.16%,5,0.61%,108.1,69.41,26.4,119.43,21.55,57.92,295.2,0.13
Jun-20,EEAST,James Paget Hospital,"1,905",98.91%,863,45.30%,119,6.25%,18,0.94%,7,0.37%,119.92,32.54,6.91,120.85,16.47,28.1,522.9,0.06
Jun-20,SCAS,John Radcliffe Hospital,"2,243",73.35%,622,27.73%,28,1.25%,2,0.09%,1,0.04%,51.95,5.27,0.67,98.35,13.12,18.23,490.31,0.02
Jun-20,EMAS,Kettering General Hospital,"2,437",100.00%,"1,690",69.35%,337,13.83%,24,0.98%,5,0.21%,706.66,135.92,11.43,158.72,20.56,32.42,835.17,0.29
Jun-20,LAS,"King Georges, Ilford","1,196",97.95%,930,77.76%,115,9.62%,1,0.08%,1,0.08%,118.49,8.14,0.15,68.78,20.1,28.9,400.62,0.1
Jun-20,LAS,Kings College,"1,992",97.41%,"1,451",72.84%,179,8.99%,2,0.10%,2,0.10%,193.36,17.57,1.58,130.62,19.96,28.83,662.7,0.1
Jun-20,EMAS,Kings Mill Hospital,"2,891",100.00%,"1,499",51.85%,112,3.87%,3,0.10%,1,0.03%,629.98,43.31,1.8,139.78,16.29,24.13,785.1,0.22
Jun-20,LAS,Kingston,"1,632",98.31%,939,57.54%,28,1.72%,0,0.00%,0,0.00%,83.11,1.8,0,43.9,16.79,23.82,456.68,0.05
Jun-20,YAS,Leeds General Infirmary,669,28.86%,151,22.57%,29,4.33%,2,0.30%,1,0.15%,25.19,5.41,0.73,101.33,9.13,21.72,101.85,0.04
Jun-20,EMAS,Leicester Royal Infirmary,"4,957",100.00%,"2,842",57.33%,364,7.34%,17,0.34%,3,0.06%,"1,448.14",186.68,13.7,348.28,17.73,27.35,"1,465.12",0.29
Jun-20,NWAS,Leighton,513,29.55%,232,45.22%,24,4.68%,0,0.00%,0,0.00%,27.73,2.8,0,47.47,15.73,25.75,134.48,0.05
Jun-20,LAS,Lewisham,"1,484",96.18%,867,58.42%,82,5.53%,2,0.13%,2,0.13%,106.47,7.48,0.37,76,17.59,27.06,434.97,0.07
Jun-20,EMAS,Lincoln County Hospital,"2,493",100.00%,"1,529",61.33%,198,7.94%,25,1.00%,3,0.12%,742.07,106.59,11.88,145.98,18.65,29.34,774.97,0.3
Jun-20,EEAST,Lister Hospital,"1,998",85.35%,"1,359",68.02%,259,12.96%,7,0.35%,0,0.00%,201.8,30.13,1.19,88.65,19.56,31.65,651.25,0.1
Jun-20,EEAST,Luton And Dunstable Hospital,"1,826",73.90%,"1,054",57.72%,230,12.60%,13,0.71%,1,0.05%,175.79,37.08,3.41,108.22,18.99,31.43,577.87,0.1
Jun-20,NWAS,Macclesfield General,395,41.67%,268,67.85%,46,11.65%,2,0.51%,1,0.25%,40.8,7.09,0.67,96.82,20.09,32.08,132.26,0.1
Jun-20,SECAmb,Maidstone Hospital,"1,241",94.09%,408,32.88%,40,3.22%,1,0.08%,0,0.00%,42.04,3.95,0.29,77.13,13.77,22,284.83,0.03
Jun-20,NWAS,Manchester Royal Infirmary,"1,671",79.27%,702,42.01%,49,2.93%,0,0.00%,0,0.00%,64.28,5.06,0,50.97,14.87,22.25,414.12,0.04
Jun-20,SECAmb,Medway Maritime Hospital,"3,139",96.23%,769,24.50%,135,4.30%,27,0.86%,9,0.29%,118.45,38.92,10.75,128.03,13.14,22.11,687.3,0.04
Jun-20,SCAS,Milton Keynes General Hospital,"1,520",89.52%,659,43.36%,29,1.91%,0,0.00%,0,0.00%,56.41,2.29,0,56.57,15.13,21.69,383.32,0.04
Jun-20,SWAS,Musgrove Park Hospital,"2,329",100.00%,351,15.07%,52,2.23%,2,0.09%,0,0.00%,44.21,7.48,0.11,66.13,9.79,18.06,380,0.02
Jun-20,WMAS,New Cross,"3,639",93.69%,825,22.67%,20,0.55%,1,0.03%,0,0.00%,53.49,1.94,0.06,63.78,12.67,17.89,768.48,0.01
Jun-20,WMAS,New Queen Elizabeth Hosp,"3,378",82.21%,"2,095",62.02%,249,7.37%,30,0.89%,3,0.09%,274.55,46.16,6.09,108.53,18.67,28.14,"1,051.34",0.08
Jun-20,LAS,Newham,"1,706",97.26%,"1,159",67.94%,111,6.51%,0,0.00%,0,0.00%,123.95,6.77,0,56.33,17.84,26.64,507.11,0.07
Jun-20,EEAST,Norfolk & Norwich University Hospital,"4,263",97.33%,"2,676",62.77%,550,12.90%,22,0.52%,6,0.14%,447.04,104.94,8.7,163.33,19.91,32.79,"1,414.77",0.1
Jun-20,SWAS,North Devon District Hospital,"1,327",100.00%,225,16.96%,23,1.73%,2,0.15%,0,0.00%,26.76,4.17,0.31,75.27,9.55,18.31,211.27,0.02
Jun-20,SCAS,North Hants Hospital,"1,372",82.40%,633,46.14%,81,5.90%,10,0.73%,5,0.36%,83.65,19.94,6.19,150.52,16.35,23.8,373.98,0.06
Jun-20,NWAS,North Manchester General,"1,009",59.67%,549,54.41%,74,7.33%,1,0.10%,0,0.00%,69.01,7.78,0.46,87.73,17.2,27.28,289.25,0.07
Jun-20,LAS,North Middlesex,"2,712",97.76%,"1,985",73.19%,423,15.60%,4,0.15%,4,0.15%,314.44,46.42,0.92,100.5,20.9,32.33,944.72,0.12
Jun-20,NEAS,North Tees Hospital A&E,781,46.10%,249,31.88%,34,4.35%,1,0.13%,0,0.00%,30.94,13.23,0.78,61.75,13.76,47.07,179.08,0.04
Jun-20,EMAS,Northampton General Hospital,"2,674",100.00%,"1,282",47.94%,139,5.20%,6,0.22%,1,0.04%,588.72,58.14,1.82,92.07,16.23,25.83,723.18,0.22
Jun-20,YAS,Northern General Hospital,"2,885",87.69%,918,31.82%,119,4.12%,3,0.10%,0,0.00%,117.52,14.34,0.24,70.75,13.29,23.33,638.8,0.04
Jun-20,LAS,Northwick Park,"3,079",98.72%,884,28.71%,51,1.66%,0,0.00%,0,0.00%,71,5.5,0,51.32,12.76,19.66,654.83,0.02
Jun-20,EMAS,Nottingham City Hospital Campus,622,100.00%,358,57.56%,83,13.34%,4,0.64%,0,0.00%,171.33,50.84,1.08,68.27,19.32,32.69,200.32,0.28
Jun-20,NEAS,Nsec A&E,"3,130",91.52%,"1,516",48.43%,125,3.99%,0,0.00%,0,0.00%,151.65,46.62,0,57.65,15.74,50.41,820.99,0.05
Jun-20,EEAST,Peterborough City Hospital,"1,964",95.11%,"1,452",73.93%,269,13.70%,10,0.51%,2,0.10%,228.14,35.68,2.51,97.28,21.19,32.62,693.51,0.12
Jun-20,EMAS,Peterborough City Hospital,917,100.00%,634,69.14%,156,17.01%,8,0.87%,0,0.00%,298.74,63.69,2.59,85,20.86,32.43,318.82,0.33
Jun-20,YAS,Pinderfields General Hospital,"2,579",80.67%,405,15.70%,89,3.45%,12,0.47%,1,0.04%,67.47,18.29,2.69,96.95,8.43,18.52,362.41,0.03
Jun-20,SWAS,Poole Hospital,"1,892",100.00%,625,33.03%,129,6.82%,17,0.90%,2,0.11%,105.32,30,5.23,138,14.13,26.62,445.5,0.06
Jun-20,EEAST,Princess Alexandra Hospital,"1,525",92.59%,889,58.30%,174,11.41%,2,0.13%,0,0.00%,133.8,24.34,0.09,65.13,18.35,30.21,466.47,0.09
Jun-20,WMAS,Princess Royal,"1,347",83.72%,503,37.34%,37,2.75%,2,0.15%,0,0.00%,48.95,4.85,0.4,73.32,14.59,21.5,327.45,0.04
Jun-20,SECAmb,Princess Royal Hospital,604,88.56%,348,57.62%,49,8.11%,1,0.17%,0,0.00%,45.7,5.08,0.22,73.42,17.84,27.66,179.57,0.08
Jun-20,LAS,"Princess Royal, Farnborough","1,996",95.87%,918,45.99%,97,4.86%,3,0.15%,3,0.15%,105.55,10.87,0.56,85.85,15.78,25.1,524.91,0.05
Jun-20,SCAS,Queen Alexandra Hospital,"3,881",95.59%,893,23.01%,50,1.29%,8,0.21%,0,0.00%,73.96,10.28,1.32,80.23,12.68,18.07,820.12,0.02
Jun-20,NEAS,Queen Elizabeth Emrg Hub,"1,663",97.02%,427,25.68%,1,0.06%,0,0.00%,0,0.00%,19.44,0.28,0,31.92,12.46,46.27,345.27,0.01
Jun-20,EEAST,Queen Elizabeth Hospital,"1,742",93.76%,760,43.63%,108,6.20%,7,0.40%,0,0.00%,98.92,18.13,1.19,84.98,16.08,25.83,466.94,0.06
Jun-20,LAS,"Queen Elizabeth Ii, Woolwich","2,511",98.32%,563,22.42%,27,1.08%,0,0.00%,0,0.00%,43.92,2.67,0,51,12.35,18.12,516.98,0.02
Jun-20,SECAmb,Queen Elizabeth Queen Mother Hospital,"2,370",98.71%,912,38.48%,14,0.59%,0,0.00%,0,0.00%,60.02,1.09,0,59.92,14.13,20.03,558.21,0.03
Jun-20,EMAS,Queens Medical Centre Campus Hospital,"4,959",100.00%,"1,487",29.99%,154,3.11%,12,0.24%,2,0.04%,628.15,63.06,6.16,107.47,13.58,21.66,"1,122.04",0.13
Jun-20,LAS,"Queens, Romford  A&E","3,049",97.72%,"2,605",85.44%,768,25.19%,1,0.03%,1,0.03%,491.87,59.48,1.03,121.53,24.08,34.07,"1,223.61",0.16
Jun-20,YAS,Rotherham District General Hos,"1,885",92.49%,649,34.43%,51,2.71%,2,0.11%,0,0.00%,69.32,7.6,0.71,86.32,13.32,22.61,418.33,0.04
Jun-20,NWAS,Royal Albert Edward Infirmary,"1,637",78.93%,843,51.50%,133,8.12%,6,0.37%,1,0.06%,123.18,21.52,1.74,122.03,17.39,29.78,474.37,0.08
Jun-20,SCAS,Royal Berkshire Hospital,"2,251",80.91%,802,35.63%,58,2.58%,1,0.04%,0,0.00%,73.12,6.84,0.15,68.82,14.23,20.12,533.81,0.03
Jun-20,NWAS,Royal Blackburn,"2,783",86.97%,"1,658",59.58%,231,8.30%,3,0.11%,0,0.00%,223.44,27.65,0.46,80.17,18.08,28.84,838.55,0.08
Jun-20,NWAS,Royal Bolton,"1,932",87.26%,888,45.96%,116,6.00%,11,0.57%,1,0.05%,110.57,18.31,1.96,110.02,15.99,25.69,514.74,0.06
Jun-20,SWAS,Royal Bournemouth Hospital,"1,882",100.00%,551,29.28%,99,5.26%,3,0.16%,0,0.00%,83.82,16.01,0.21,67.2,13.23,24.34,414.89,0.04
Jun-20,EMAS,Royal Derby Hospital,"3,957",100.00%,"2,793",70.58%,454,11.47%,9,0.23%,2,0.05%,"1,285.24",182.28,9.2,207.67,20.24,31.01,"1,334.79",0.32
Jun-20,SWAS,Royal Devon And Exeter Wonford,"2,659",100.00%,385,14.48%,22,0.83%,0,0.00%,0,0.00%,33.72,2.25,0,49.95,9.09,16.77,402.67,0.01
Jun-20,LAS,Royal Free,"1,609",96.23%,"1,058",65.76%,174,10.81%,5,0.31%,5,0.31%,146.37,19.76,0.77,90.48,19.01,29.72,509.82,0.09
Jun-20,SCAS,Royal Hampshire County Hospital,"1,029",80.39%,452,43.93%,30,2.92%,3,0.29%,0,0.00%,45.61,5.45,0.96,89.23,15.61,21.81,267.71,0.04
Jun-20,NWAS,Royal Lancaster Infirmary,"1,222",87.04%,616,50.41%,82,6.71%,2,0.16%,1,0.08%,82.23,11.28,0.86,106.08,16.94,27.69,344.99,0.07
Jun-20,NWAS,Royal Liverpool University,"1,502",63.83%,354,23.57%,24,1.60%,1,0.07%,0,0.00%,33.97,3.71,0.2,71.92,11.92,19.19,298.44,0.02
Jun-20,LAS,Royal London (Whitechapel),"1,757",95.65%,"1,046",59.53%,104,5.92%,4,0.23%,4,0.23%,124.04,10.15,1.63,145,17.41,26.9,509.92,0.07
Jun-20,NWAS,Royal Oldham,"1,059",50.57%,811,76.58%,179,16.90%,6,0.57%,0,0.00%,136.98,25.67,0.42,69.32,22.02,34.15,388.69,0.13
Jun-20,NWAS,Royal Preston,"2,073",86.09%,892,43.03%,82,3.96%,2,0.10%,0,0.00%,97.86,9.79,0.41,78.68,15.48,24.52,534.91,0.05
Jun-20,WMAS,Royal Shrewsbury,"1,595",91.04%,758,47.52%,132,8.28%,26,1.63%,4,0.25%,120.47,38.06,6.31,102.42,17.66,28.25,469.51,0.08
Jun-20,WMAS,Royal Stoke Univ Hosp,"3,687",79.84%,"1,856",50.34%,267,7.24%,56,1.52%,27,0.73%,310.88,111.04,52.4,326.27,18.27,29.44,"1,122.62",0.08
Jun-20,SECAmb,Royal Surrey County Hospital,"1,194",96.06%,450,37.69%,53,4.44%,6,0.50%,1,0.08%,54.16,10.07,1.46,90.65,14.89,23.31,296.35,0.05
Jun-20,SECAmb,Royal Sussex County Hospital,"2,527",89.32%,"1,415",56.00%,312,12.35%,10,0.40%,1,0.04%,229.5,46.21,1.45,110.35,18.63,31.13,784.53,0.09
Jun-20,SWAS,Royal United Hospital  Bath,"2,555",100.00%,819,32.05%,174,6.81%,29,1.14%,5,0.20%,148.48,46.48,8.94,127.75,14.48,27.18,616.73,0.06
Jun-20,WMAS,Russells Hall,"2,918",92.69%,"1,106",37.90%,35,1.20%,0,0.00%,0,0.00%,87.56,2.31,0,43.83,14.42,21.09,701.5,0.03
Jun-20,NEAS,Rvi A&E,"1,822",79.60%,656,36.00%,50,2.74%,0,0.00%,0,0.00%,63.39,16.98,0,51.43,13.85,49.01,420.6,0.03
Jun-20,NWAS,Salford Royal,"1,839",81.55%,"1,127",61.28%,198,10.77%,13,0.71%,1,0.05%,171.86,35.6,2.64,91.63,19.17,31.07,587.49,0.09
Jun-20,SWAS,Salisbury District Hospital,"1,090",100.00%,175,16.06%,14,1.28%,0,0.00%,0,0.00%,18.76,1.66,0,49.03,9.35,18.27,169.93,0.02
Jun-20,WMAS,Sandwell,"2,055",92.11%,"1,110",54.01%,49,2.38%,1,0.05%,0,0.00%,103.1,5.16,0.12,67.42,16.56,23.86,567.16,0.05
Jun-20,YAS,Scarborough District General Hospital,"1,372",93.72%,341,24.85%,69,5.03%,13,0.95%,1,0.07%,60.07,19.8,2.02,90.1,11.94,23.27,273.14,0.04
Jun-20,EMAS,Scunthorpe General Hospital,"1,451",100.00%,663,45.69%,135,9.30%,25,1.72%,9,0.62%,359,79.45,17.45,162.82,17.73,32.18,428.69,0.25
Jun-20,NEAS,South Tyneside Hosp A&E,963,90.00%,472,49.01%,42,4.36%,1,0.10%,0,0.00%,49.46,15.55,0.79,62.12,15.93,48.94,255.65,0.05
Jun-20,SCAS,Southampton General Hospital,"3,092",84.92%,642,20.76%,53,1.71%,2,0.06%,1,0.03%,61.53,8.8,1.06,104.27,11.99,17.52,618.13,0.02
Jun-20,EEAST,Southend University Hospital,"2,290",89.70%,"1,758",76.77%,286,12.49%,25,1.09%,7,0.31%,277.31,52.93,7.94,116.17,21.2,32.62,809,0.12
Jun-20,SWAS,Southmead Hospital,"3,189",100.00%,"1,268",39.76%,181,5.68%,11,0.34%,4,0.13%,172.73,32.5,5.53,226.5,15.01,25.77,797.76,0.05
Jun-20,NWAS,Southport District General,"1,032",83.63%,544,52.71%,59,5.72%,3,0.29%,1,0.10%,66.6,9.02,0.88,94.47,16.74,26.56,287.85,0.06
Jun-20,LAS,"St Georges, Tooting","2,016",95.77%,"1,297",64.34%,226,11.21%,2,0.10%,2,0.10%,189.56,19.98,0.98,117.88,19.24,29.79,646.55,0.09
Jun-20,LAS,St Helier,"1,284",97.42%,816,63.55%,69,5.37%,9,0.70%,9,0.70%,96.02,15.02,4.6,165.22,18.35,27.28,392.7,0.07
Jun-20,YAS,St James University Hospital,806,33.97%,192,23.82%,30,3.72%,1,0.12%,0,0.00%,25.31,4.83,0.07,64.1,10.39,20.83,139.61,0.03
Jun-20,IOW,St Mary'S Hospital,930,79.08%,571,61.40%,55,5.91%,6,0.65%,4,0.43%,70.78,10.28,4.07,137.52,18.17,24.81,281.68,0.08
Jun-20,LAS,"St Marys, W2","1,810",96.43%,"1,091",60.28%,189,10.44%,3,0.17%,3,0.17%,161.24,20.87,0.58,84.78,18.83,29.64,568.08,0.09
Jun-20,SECAmb,St Peters Hospital,"2,236",96.96%,"1,274",56.98%,78,3.49%,3,0.13%,0,0.00%,121.12,9.13,0.6,88.38,16.92,24.26,630.7,0.05
Jun-20,SECAmb,St Richards Hospital,"1,649",94.82%,563,34.14%,41,2.49%,0,0.00%,0,0.00%,54.87,3.48,0,48,13.95,21.72,383.46,0.03
Jun-20,LAS,St Thomas',"2,012",96.92%,"1,266",62.92%,125,6.21%,1,0.05%,1,0.05%,144.05,9.1,0.17,70.23,17.99,26.39,603.24,0.07
Jun-20,NWAS,Stepping Hill,"1,213",62.17%,594,48.97%,80,6.60%,1,0.08%,0,0.00%,75.65,10.38,0.04,62.32,16.74,26.85,338.37,0.06
Jun-20,SCAS,Stoke Mandeville Hospital,"1,306",78.96%,522,39.97%,74,5.67%,0,0.00%,0,0.00%,72.78,11.48,0,58.97,15.86,24.18,345.12,0.06
Jun-20,NEAS,Sunderland Royal A&E,"2,295",88.92%,"1,178",51.33%,96,4.18%,2,0.09%,0,0.00%,114,34.66,1.58,64.52,15.87,51.53,607.09,0.05
Jun-20,NWAS,Tameside General,"1,378",75.96%,896,65.02%,135,9.80%,1,0.07%,0,0.00%,124.12,15.83,0.01,60.35,19.12,30.56,439.09,0.09
Jun-20,SWAS,Torbay Hospital,"2,188",100.00%,266,12.16%,32,1.46%,5,0.23%,2,0.09%,34.81,8.57,1.94,103.57,9.1,16.44,331.91,0.02
Jun-20,SWAS,Treliske Hospital,"2,805",100.00%,676,24.10%,121,4.31%,5,0.18%,2,0.07%,100.12,19.49,1.78,101.7,11.23,22.33,524.9,0.04
Jun-20,SECAmb,Tunbridge Wells Hospital,"1,930",93.87%,779,40.36%,68,3.52%,0,0.00%,0,0.00%,77.79,7.36,0,50.05,14.9,22.77,479.26,0.04
Jun-20,NEAS,Uhnd A&E,"1,954",94.26%,774,39.61%,66,3.38%,5,0.26%,1,0.05%,78.97,27.85,4.66,95.02,14.3,49.3,465.79,0.04
